detrimental,-2
devastat*,-5
devastate,-3
deviate,-2
deviation,-2
devil*,-2
devious*,-2
devoid,-2
devot*,3
diabolic*,-2
dickhead*,-2
dictate,-2
dictatorial,-2
differ,-2
difficult*,-2
digni*,2
dignitar*,1
dilemma,-2
dim,-2
dimwit*,-2
din,-2
dipshit*,-2
dire,-2
dirt,-2
dirty,-2
disable*,-2
disadvantage*,-2
disagre*,-2
disagree*,-2
disappoint*,-2
disapprov*,-2
disarm,-2
disaster*,-2
disastrous*,-4
disavow*,-2
disbelief,-2
discharge*,-2
disclaim*,-2
discomfort*,-2
disconcerted,-2
discontent*,-2
discord,-2
discordant,-2
discourag*,-2
discredit*,-2
discrepant,-2
discriminate*,-2
discrimination,-3
disdain,-2
disease*,-3
disgrace*,-4
disguise,-2
disgust*,-4
dishearten*,-2
dishonest*,-2
dishonor*,-2
disillusion*,-2
disingenuous*,-2
disinterest*,-2
dislike*,-3
disliking,-3
dismal,-2
dismay*,-3
dismiss*,-2
disobedience,-2
disobedient*,-2
disorder*,-2
disorganized,-2
disparage*,-2
dispel*,-2
dispensability,-2
dispense*,-2
displace*,-2
displease*,-3
displeasure,-3
disposal,-2
dispose*,-2
disproportionate,-2
disprove,-2
disputable,-2
dispute,-2
disregard*,-2
disrupt*,-2
dissatisf*,-2
dissent*,-2
dissolution,-2
distort*,-2
distract*,-2
distraught,-4
distress*,-3
distrust*,-2
disturb*,-2
divert,-1
divin*,2
division,-2
divorce*,-2
dizziness,-2
dizzy,-2
doldrums,-2
dolt,-2
dominate*,-2
domination,-2
doom*,-2
dope,-2
dork*,-3
doubt*,-2
douchebag*,-2
downcast,-3
downfall,-2
downhearted*,-3
drab,-2
drag,-2
dread*,-4
dreary*,-2
drivel,-2
droop*,-2
drop,-2
drought*,-2
drown*,-2
drowsiness,-2
drowsy,-2
drunk*,-2
dubious*,-2
dull*,-2
dumb*,-2
dump*,-2
dumpcart*,1
dumper*,1
dumpling*,1
dunce,-2
dunderhead*,-2
dungeon,-2
duty,-2
dwell*,-1
dwindle*,-2
dying,-2
dynamic*,2
dynamism,2
eager*,1
ease*,1
easie*,1
easily,1
easiness,1
easing,1
easy*,1
easygoing*,2
eccentric,-2
eccentricity,-2
ecsta*,4
eejit,-3
egotis*,-3
elegan*,2
eliminate,-2
elimination,-2
embarrass*,-3
emergencies,-2
emergency,-2
emotional,-2
empt*,-1
emptiness,-3
encourag*,2
encroach*,-2
endanger*,-2
enemie*,-2
enemy*,-2
energ*,1
enforce*,-2
engag*,1
engagingly,2
engulf*,-2
enjoy*,3
enrag*,-4
enslave*,-3
entangle*,-2
enthus*,3
entreat*,-2
envie*,-3
envious*,-3
envy*,-3
epidemic*,-2
epithet,-2
equivocal,-2
eradicate,-2
erase*,-2
erode*,-2
erosion,-2
err,-2
erroneous*,-2
error*,-2
esoteric,-2
estranged,-2
evade*,-2
evasion*,-2
evict*,-3
evil*,-3
exaggerat*,-2
exasperat*,-2
excel*,3
excellence,4
excellent,4
excess,-2
excessive*,-2
excit*,3
exclude,-2
exclusion*,-2
excommunicat*,-2
excrement,-4
excruciat*,-5
execute*,-2
exempt*,-2
exhaust*,-2
exile*,-2
exit,-2
expedient,-2
expel*,-2
expense,-2
expensive*,-2
explode*,-2
explosion*,-2
explosive*,-2
expose*,-2
exterminat*,-2
extinct,-2
extinguish*,-2
extravagant*,-2
exuberan*,3
fab,3
fabricat*,-2
fabulous*,3
faggot,-2
fail*,-3
faint,-2
faith*,2
faithless*,-3
fake*,-2
fallacy,-2
fallout,-2
falsehood*,-2
falter*,-2
famine*,-2
famished,-2
fanatic*,-2
fantastic*,3
fantastical*,1
farce,-2
fascist,-2
fat,-2
fatal*,-3
fathead*,-3
fatigu*,-3
fatty,-2
fault*,-2
favor*,2
favoritism*,-2
favour*,2
favouritism*,-2
fear,-4
feared,-3
fearful*,-3
fearing,-3
fearless*,2
fears,-3
fearsome,-2
feeble,-2
feign*,-2
feint,-2
feroc*,-4
festiv*,1
feud*,-3
fever,-2
feverish,-2
fiasco,-2
fickle,-2
fidget*,-2
fiend,-3
fierce*,-3
fiery,-2
fiesta*,1
fight*,-3
filth,-4
filthy,-2
fine,3
fired,-3
fist,-2
flagrant*,-2
flame,-3
flamed,-3
flaw,-2
flawless*,2
fled,-2
flee*,-2
fleeting,-2
flexib*,1
flimsy,-2
flirt*,2
flounder*,-2
flunk*,-3
foe*,-3
foet*,1
foetid,-5
foible*,-2
fond,3
fondly,3
fondness,3
fool*,-2
forbid*,-2
forbidding*,-3
force,-2
foreboding,-2
